score,fea1,fea2,fea3,verify_time,label
665,50.0,1.4397,1.883,1769932754,0
670,49.0,12.1532,8.3511,1769932843,0
680,50.0,7.9687,15.8507,1769932876,0
634,50.0,1.0205,29.8529,1769932901,1
619,49.0,72.222,11.8311,1769932926,1
601,50.0,95.6067,4.0928,1769932932,0
606,50.0,1.1168,6.819,1769933121,0
695,50.0,11.2691,14.3213,1769933444,0
648,51.0,86.0676,15.5085,1769933531,0
682,50.0,68.8502,0.7735,1769933634,0
675,50.0,40.471,9.5124,1769934021,0
608,50.0,99.2797,34.2252,1769934256,1
626,50.0,57.3621,15.3831,1769934324,0
677,50.0,66.9599,0.0735,1769934375,0
601,50.0,65.3176,2.5482,1769934542,1
684,50.0,22.2702,5.888,1769934892,0
667,51.0,48.8124,12.2509,1769935069,1
659,50.0,21.6411,8.1024,1769935072,0
684,50.0,50.9465,0.8048,1769935155,0
685,50.0,3.0781,13.4044,1769935492,1
648,50.0,38.1959,18.2457,1769935512,0
601,50.0,37.221,2.3037,1769935645,0
616,50.0,29.1631,0.698,1769935768,1
682,50.0,7.9229,15.6522,1769935913,0
687,50.0,77.0967,10.2289,1769935929,0
619,51.0,42.0455,16.2711,1769935984,0
675,51.0,81.3973,8.3609,1769936002,0
688,50.0,83.5727,5.5956,1769936137,1
686,50.0,21.3597,32.9894,1769936152,1
697,50.0,42.133,15.1394,1769936316,0
631,50.0,72.0974,5.3089,1769936343,0
650,50.0,49.9496,23.8074,1769936542,0
687,50.0,85.5068,50.3584,1769936728,0
641,49.0,57.1569,3.6851,1769936853,0
662,51.0,62.9581,22.3005,1769936855,0
688,50.0,78.7023,0.4646,1769937038,1
660,50.0,12.2222,2.4124,1769937048,0
661,50.0,58.4248,1.7544,1769937224,1
602,50.0,8.543,4.4098,1769937293,0
688,50.0,26.0551,8.2696,1769937394,0
691,50.0,21.2572,12.7289,1769937411,0
675,50.0,56.7076,23.3102,1769937700,0
625,50.0,84.3902,1.7263,1769937767,0
647,49.0,13.281,8.6342,1769938004,0
607,50.0,76.8397,8.0899,1769938152,1
604,50.0,14.3066,6.1336,1769938203,0
610,50.0,18.9672,11.8608,1769938937,0
641,51.0,91.694,7.2023,1769939181,0
698,51.0,0.9729,7.9893,1769939666,0
690,50.0,19.7144,23.3646,1769939803,0
640,51.0,21.5556,19.6806,1769940116,0
